Feedback Received (ET),VA.gov Experience,Why did you select that rating?,VA.gov Understanding,General VA Trust,Trust in VA Commitment to Veterans,Were you able to do your task today?,What is your overall satisfaction with this site?,What task were you trying to do today?
8/18/2025 18:28,,,,,,No,2,"The people at the Panama City Beach are doing a great job but they need the freedom to help us veterans.   I am in severe pain from my injury that happened during my time in the service. It has come and gone on for forty-five years now. When I had a private provider and was working, they would refer me to or I would pay out of pocket for medical massage therapy to relieve the inflamed muscles in my lower and upper back.   I have been trying to get someone on the phone for two weeks now, so instead of playing phone tag, I went to the clinic today in a six level of pain. All I need is a referral to community care but I have to ""see"" the doctor and the first date available is October the 6th, this is unacceptable.   I just saw where RFK Jr. has required no referrals for 80% of treatments that require them for private insurance. Why does the VA not do the same for those of us in a small market?"
8/18/2025 9:44,,,,,,,,
8/17/2025 10:19,,,,,,No,4,Update my mobile phone number.  I live in Thailand I do not have a US mobile phone number.
8/16/2025 21:13,,,,,,No,1,Add my email to my account
8/16/2025 18:45,,,,,,No,3,Tried getting new VA Medical Card
8/15/2025 23:54,,,,,,Yes,4,Set up a va account
8/15/2025 14:56,,,,,,No,1,Your website UI on mobile stinks. Tried seven times to add my valid phone number and kept seeing an error
8/15/2025 13:41,,,,,,No,2,I don't want to add my mobile phone number back to my account because of the VA spamming me with text messages. Some coming from VA and regions that I'VE NEVER BEEN TO!!!
8/15/2025 13:13,,,,,,No,2,Update contact information. System error occurred and would not let me provide my cell or home address that your system requires
8/15/2025 11:52,2,"I am permanently disabled and looking for information about education that I receive but cannot find it on the website, it is frustrating.",4,3,5,,,
8/15/2025 2:20,,,,,,No,1,I just wanted to leave a message to my Primary Care MD.. This site is impossible to navigate.
8/14/2025 15:16,,,,,,Yes,4,
8/14/2025 14:06,,,,,,Yes,3,Brian Michulka 17127 Meadowview Lane Lindale Tx 75771 467894648
8/14/2025 7:30,,,,,,No,,
8/13/2025 17:50,,,,,,No,,"	+52 221 149 1824 I live in Mexico this is the only number you can call me at"
8/13/2025 16:49,5,It was quick and to the point,5,3,4,,,
8/13/2025 12:37,,,,,,,,
8/13/2025 12:19,,,,,,No,1,Trying to complete form 21-526EZ. As well as update my contact information
8/13/2025 11:34,,,,,,No,3,"add data, but I do not have a cell phone. I'm sure there are others out there that do not have facilities due to sight, sound 7 physical problems."
8/13/2025 10:05,,,,,,No,2,I do not have a mobile phone therefore I cannot add my mobile phone number.
8/12/2025 17:13,,,,,,No,2,I'm having extreme issues with the entire claim process and the VA.gov website and app. Please help me correct these issues. I'm having extreme anxiety and blood pressure is rising. Please help me. Thank you
8/12/2025 17:12,,,,,,No,1,Reupdate the contact information you deleted... Need to refill prescription and I've arrived at a complete shit-show.
8/12/2025 17:11,1,page asking for information and then saying can't access at this time,1,1,1,,,
8/12/2025 17:10,,,,,,No,2,Contact information needs to be updated but system errors will not allow me to
8/12/2025 16:05,,,,,,No,1,"VA.GOV wanted me to update my contact information found that my e-mail address was all cap letters so changed it to lower case but it come back out in CAP letters the it wanted my Mobile number but I don't have a mobile phone, then I could not continue withing the program."
8/12/2025 7:18,,,,,,No,1,"I do not have a phone so, stop asking me for a phone number."
8/12/2025 3:53,,,,,,No,1,Updating my phone number. I live outside the US
8/12/2025 0:16,,,,,,Yes,4,
8/12/2025 0:07,,,,,,No,1,22 a day...
8/11/2025 22:39,5,,5,5,5,,,
8/11/2025 18:31,,,,,,No,4,I am located overseas and do not have a stateside telephone number.
8/11/2025 16:58,,,,,,No,3,update my info - BUT it asks for a mobile phone and I don't use one
8/10/2025 20:32,,,,,,No,4,Unable to add my phone number to my profile. I live in Australia and have a international number?
8/10/2025 17:57,,,,,,No,1,"i paid my bill about a month ago on this site, but its still the same"
8/10/2025 15:27,,,,,,No,1,I was trying to get to my post-GI Bill benefits and the site keeps pushing me to Veteran's Crisis lines. Is it intentional to prevent veteran's from navigating to their benefits easily?
8/10/2025 13:10,,,,,,No,2,Attempted LOGIN requires a Mobile Phone.  I DO NOT have a Mobile Phone - I have a Landline Phone only.
8/10/2025 11:59,,,,,,Yes,4,
8/9/2025 13:09,,,,,,Yes,4,
8/9/2025 12:56,3,I DO NOT have or own a cell phone. LANDLINE only.,1,3,5,,,
8/8/2025 21:16,3,Getting to know the system,4,3,3,,,
8/8/2025 20:52,,,,,,No,3,"Enter my local Japanese address. Not accepted due to non-verification by US Postal Directory, (I bet no Japanese addresses are listed or verifiable) My correct address:  JAPAN  2-15-8 AKAMICHI  HIMAWARI SOU 2 APT 1-C GINOWAN CITY OKINAWA PREFECTURE 901-2205 This was my input. Does not appear as a choice to select once it couldn't be found in USPS Directory"
8/8/2025 16:06,,,,,,Yes,4,
8/8/2025 11:53,,,,,,Yes,,
8/8/2025 7:43,5,Precise and informative instructions are very informative.,5,4,4,,,
8/8/2025 5:13,,,,,,,,
8/7/2025 23:17,3,This survy came uo before I had a chance to reply.,3,3,5,,,
8/7/2025 7:00,,,,,,No,2,Trying to add my mobile phone number to my profile. I do noy have a US number since I live in Germany. My mobile is 0481608116017
8/7/2025 5:03,,,,,,No,2,update address
8/6/2025 22:09,,,,,,Yes,4,
8/6/2025 20:04,,,,,,Yes,3,
8/6/2025 19:52,,,,,,Yes,,
8/6/2025 14:41,,,,,,,,
8/6/2025 14:09,,,,,,Yes,1,Pay VA Medical  Bill
8/6/2025 13:59,,,,,,Yes,4,Check my rating
8/5/2025 18:36,,,,,,No,2,add my email
8/5/2025 14:55,,,,,,No,1,Basic information
8/5/2025 14:49,2,I’m unable to find what I need.,,,,,,
8/5/2025 12:47,5,Easy and quick.,,,,,,
8/4/2025 17:39,,,,,,No,1,update mobile phone number which I do not have and required it never has been before.
8/4/2025 17:18,3,I'm still not sure I'm getting messages,2,3,4,,,
8/4/2025 16:01,,,,,,No,1,I do not own a mobile phone.
8/4/2025 11:21,,,,,,Yes,1,"One that was EASIER Before,but got it done. No consideration for older Vets  Thank You"
8/4/2025 8:44,,,,,,Yes,4,
8/4/2025 0:03,,,,,,No,3,"enter mobile phone number, I do not have a US number!"
8/3/2025 19:34,,,,,,No,1,update contact information
8/3/2025 18:56,,,,,,Yes,2,Quit asking for cantact information!  I do not have a ******  cellphone!!!!
8/3/2025 14:50,,,,,,Yes,,
8/3/2025 9:36,5,,5,4,1,,,
8/3/2025 3:17,,,,,,,,
8/2/2025 9:12,,,,,,No,3,I have NO cell phone use my home phone                304-845-3470
8/1/2025 17:45,,,,,,Yes,4,
8/1/2025 13:21,,,,,,,3,Clear nudge for missing mobile phone number.  How to indicate no mobile?
8/1/2025 10:16,,,,,,No,5,"I live in Germany and do not have a U.S. mobile phone. My German mobile number is +49 151 26442656, in case that is helpful."
8/1/2025 2:40,1,I don't have a US phone number! The site says I have to have one! Do you want to issue me one?,4,3,3,,,
7/31/2025 21:25,5,,5,5,5,,,
7/30/2025 23:52,,,,,,,,
7/30/2025 19:03,,,,,,,,
7/30/2025 19:01,,,,,,Yes,3,
7/30/2025 16:58,,,,,,No,1,FAST for my father
7/30/2025 16:09,,,,,,No,3,Check status of claim.
7/30/2025 16:07,,,,,,No,1,Review X-ray results.
7/30/2025 16:04,1,the site seems to be down when I am trying to work on my benefits and get updates,3,3,3,,,
7/30/2025 16:02,,,,,,No,1,View my blood test results
7/30/2025 16:00,,,,,,No,1,Why is this site constantly down.
7/30/2025 15:50,,,,,,No,2,Verify the status of my eligibility
7/30/2025 13:46,,,,,,No,1,Fuck you
7/30/2025 13:36,,,,,,No,1,useless
7/30/2025 12:56,,,,,,Yes,2,access my health records and send a secure message
7/29/2025 19:05,,,,,,No,1,"I was trying to update my phone number, but I live in South Korea do not have a USA-based number. Please add the ability to include overseas numbers"
7/29/2025 15:12,3,The website is slightly confusing to use.,3,3,4,,,
7/29/2025 11:45,5,,4,3,4,,,
7/29/2025 11:02,,,,,,,,
7/28/2025 22:50,,,,,,No,3,
7/28/2025 21:10,,,,,,No,3,"update mobile number. Website only accepts US mobile number. Please keep in mind that not everyone retires/separate in the US. Some veterans stays overseas, thus updating your website with enabling oversees mobile number would help us living overseas."
7/28/2025 19:58,,,,,,No,1,"Update mobile phone, but I could not because it only allows US phone numbers and I live in Japan"
7/28/2025 12:06,,,,,,No,2,"I'm my father's fiduciary and I logged in to upload the accounting documents and I can't due to this site not working today,"
7/28/2025 8:20,,,,,,No,4,Tried to enter my missing contact information. My mobile phone number is not accepted because it is an overseas number.  I could not continue with the personal information update because the phone is a required field to proceed to the next step.
7/27/2025 16:59,5,Makes things easier,,,,,,
7/27/2025 16:16,,,,,,,,
7/27/2025 14:06,,,,,,No,,Will not let me update my address. Is on a loop
7/27/2025 10:11,,,,,,No,1,"update my contact mobile # U.S. only, I live in Germany, I don't have a U.S. #."
7/27/2025 9:12,,,,,,No,3,"Enter my mobil phone number, but your system only takes US numbers.  I live in Germany as a retiree."
7/27/2025 8:30,,,,,,No,2,"I am required to enter a phone number, but only US phone numbers are accepted.  I do not have a US phone number."
7/27/2025 5:26,,,,,,No,1,"Add mobile phone number, and because the idiots running the VA & this website can't conceive of veterans living outside the US, your website can only accept a US mobile phone number.  So what, I now can't use va.gov because you all don't have a clue.  I HATE dealing with the VA!!!!"
7/27/2025 2:32,,,,,,No,2,"I am trying to verify my email address and phone number.  I reside outside the US and do not have a US telephone number.  The process to verify my identity is very complicated, because I only have my US passport , German drivers license and a German ID, which none are accepted.  My address and contact information are correct and hasn’t changed since the last verification."
7/26/2025 21:11,,,,,,No,2,add contact information
7/25/2025 19:13,5,Easy to navigate web site.,5,3,5,,,
7/25/2025 12:54,,,,,,No,1,You do not need a Mobile Number if you have Home Phone.
7/25/2025 11:50,,,,,,No,3,"updating my phone number, but system is outlining   everything in RED Borders."
7/24/2025 19:20,,,,,,No,,"Trying to update my address, would not let me fill it out."
7/24/2025 19:18,,,,,,,,
7/24/2025 17:33,,,,,,,,
7/24/2025 13:26,,,,,,No,3,trying to input address.  used your suggested address and it can't update???
7/23/2025 13:43,,,,,,Yes,,
7/23/2025 13:19,,,,,,No,1,change contact information
7/23/2025 12:01,,,,,,,,
7/23/2025 10:12,,,,,,Yes,,
7/23/2025 9:39,,,,,,No,1,"add my email address, it just keeps loading and will not allow me to proceed."
7/23/2025 0:49,,,,,,No,2,"Update phone and contact info but the system errored out. But also, you should already have my information because I'm receiving mail and correspondence."
7/23/2025 0:48,,,,,,No,1,"YOUR SAYING MY CONTACT INFORMATION IS MISSING, ASKING ME TO UPDATE, THEN GET THE ""WERE SORRY, WE CANT UPDATE NOW, WERE WORKING TO FIX THIS"" THIS IS A CONTINUATION OF MANY FAULTS ONLINE AND IN THE APP."
7/23/2025 0:47,,,,,,No,2,update my contact info and submit a mileage reimbursement.   Your website is not working.
7/23/2025 0:45,,,,,,No,1,
7/23/2025 0:39,,,,,,No,,
7/23/2025 0:37,,,,,,No,3,"go to, my va health on line"
7/23/2025 0:25,,,,,,No,1,
7/23/2025 0:19,,,,,,Yes,,
7/23/2025 0:18,,,,,,No,2,update contact info
7/23/2025 0:06,,,,,,No,2,"would not let me update phone, email, nor mailing adress from blank to correct information."
7/22/2025 21:55,,,,,,,,
7/22/2025 18:14,,,,,,No,3,trying to update mailing address and address is not being accepted
7/22/2025 16:43,,,,,,Yes,,
7/22/2025 11:23,,,,,,Yes,4,Start a second application for my post 9/11 education benefits
7/22/2025 9:22,,,,,,No,1,you want a mobile phone number and I DONT HAVE ONE!
7/22/2025 8:05,,,,,,No,3,I was trying to update my information but it will not let me add my number. It says it is required but only US mobile phones. I work for the US government overseas and do not have a US number.
7/22/2025 7:58,,,,,,No,2,Add address to contact information.  Error message received.
7/22/2025 4:06,,,,,,No,1,I need update my contact information. I'm overseas and I don't have a US phone number. Why I can't use a foreign number?
7/21/2025 23:02,,,,,,Yes,,
7/21/2025 14:05,,,,,,No,1,Trying to add email address and keeps saying I must enter a valid email address after I hit the update button and after I entered a valid email address. Please help!!
7/21/2025 13:58,,,,,,No,2,Update my contact info.
7/21/2025 13:02,,,,,,Yes,4,To start applicatin for benefits
7/21/2025 12:05,,,,,,No,,Site will not accept mobile telephone number
7/21/2025 9:25,,,,,,Yes,5,
7/20/2025 20:20,,,,,,No,2,Wants cell phone number.  No way to say I don't have a ............. cell phone!
7/20/2025 10:06,,,,,,No,3,Complete contact details.   I do not live in US.  Will no accept non US telephone no.   therefore  will not  allow completion of details
7/19/2025 22:25,,,,,,Yes,4,
7/19/2025 19:16,,,,,,Yes,,
7/19/2025 16:12,,,,,,No,1,"get some info, I do not have a cell phone!!!!!!"
7/19/2025 16:09,4,do not know if you will solve my problem,3,3,4,,,
7/18/2025 17:31,,,,,,No,1,get my claim letter
7/18/2025 15:32,,,,,,Yes,4,Request DD FORM 214
7/18/2025 12:03,,,,,,No,1,"Update my contact information but a mobile phone is required, which is stupid since not everybody, including myself, has a mobile phone.  So get rid of that being a requirement so we can update an email address."
7/18/2025 8:02,,,,,,Yes,1,"check R/X's, this site is harder to navigate than the old one"
7/17/2025 14:26,,,,,,No,1,Could not update my address with any address either in the Philippines or the US.
7/17/2025 14:20,,,,,,No,3,I could not update my address. I live in the Philippines.
7/17/2025 10:38,,,,,,No,1,"This site is terrible, everytime I try to do something the system is down. Get your act together."
7/17/2025 7:09,,,,,,,,
7/17/2025 6:04,,,,,,,,
7/17/2025 2:12,,,,,,Yes,4,
7/16/2025 14:55,,,,,,No,,I do not have a mobile phone.  Unable to use because of nervous system.
7/16/2025 14:09,,,,,,Yes,4,Verify my account identiy.
7/16/2025 13:10,,,,,,No,3,"System asking for upgraded info.  I do not have a cellphone, and it will not let me move on."
7/16/2025 12:31,,,,,,No,,"Your in-progress ID number is 16802090. Trying to verify email, but got to a page requesting other contact info. I do not own a cell phone.  I only have landline."
7/16/2025 11:55,,,,,,No,4,"You wanted my 'mobile phone' number. I do NOT have a mobile phone.  I have a LAND LINE phone.  So, I could not complete the task.    Your system needs to account for us OLD SCHOOL cheapskates who don't need a phone in their pocket 24/7/365.  My in-progress ID number is 16800866"
7/16/2025 10:59,,,,,,No,2,I don't have a mobile phone number
7/16/2025 9:09,,,,,,Yes,5,
7/16/2025 9:02,,,,,,,,
7/16/2025 7:19,,,,,,No,2,"Your site is insisting that I give my mobile phone infformation.  I use a home phone.  You have it.  Call me there.  I don't want to, and should not have to provide a mobile number."
7/15/2025 19:59,,,,,,Yes,,
7/15/2025 19:10,,,,,,,1,
7/15/2025 14:57,,,,,,Yes,2,"I was trying to add my cell phone number but the update failed. I tried again, this time putting dashes in the phone number, and the update worked. The prompt should inform the user to include the dashes, or prepopulate the field with dashes."
7/15/2025 9:08,,,,,,Yes,,
7/15/2025 4:43,,,,,,No,2,update contact information. Not possible because I am overseas and the website only accepts US numbers.
7/14/2025 13:49,,,,,,Yes,,
7/14/2025 11:44,,,,,,Yes,,
7/13/2025 23:59,,,,,,Yes,4,Applying for the GI bill benefits that were given to me by my father
7/13/2025 15:03,,,,,,No,1,"add my cell number, however, your VA site discriminates against the more than 500,000 service members serving overseas and dont have a US cell phone number. Why you wouldnt support over 40% of the active duty force is astounding."
7/12/2025 1:19,4,Nothing is perfect,5,5,5,,,
7/11/2025 8:54,,,,,,No,3,add a phone number i do nothave a cell phone i only have a land line
7/11/2025 6:04,,,,,,Yes,4,update email
7/10/2025 20:37,,,,,,Yes,,
7/10/2025 19:30,,,,,,No,3,"I do not have a mobile phone, so please don't try to force me to enter a mobile phone number."
7/10/2025 15:56,,,,,,No,,Add my mobile number (its german like my address on file but foreign numbers arent allowed? Nice)
7/9/2025 21:25,,,,,,No,2,"Ad my mobile number, I live in the philippines.  I'm unable to add because a USA number is required"
7/9/2025 18:05,,,,,,No,2,"The VA requested that I complete or verify my contact information. I failed to include a Mobile Phone Number, but that is because I don't have a cell phone.  What I'd like to see in the line where the VA requests your mobile phone number is a space for a comment within the box for the mobile phone number where you can say you don't have a cell phone."
7/9/2025 17:59,,,,,,No,1,i donot have a mobile phone
7/9/2025 17:48,2,"I received an email notice from the VA today, 07-09-2025, requesting I update my contact information. One item I didn't include the last time I filled in my contact information for the VA, was my MOBILE PHONE NUMBER.  I don't have a cell phone, so I couldn't supply a number for it. Am I going to continue to receive notices indicating that the VA can't contact me because I don't have a cell phone?",3,2,4,,,
7/9/2025 17:09,,,,,,,3,use pharmacy find appointments
7/9/2025 11:29,,,,,,No,3,Some of us do not need to be tied to a mobile phone. Requiring one is unacceptable.
7/9/2025 9:25,,,,,,No,,
7/8/2025 17:16,,,,,,No,1,"Unable to logon to my VA account because I don't have a cell phone. I only use my land line and there is no provision to continue...  Peace, TED..."
7/8/2025 17:10,,,,,,No,1,"Trying to add mobile # to app says it needs 10 digit #, I entered 14064996312 which is a 10 digit #, but it would not recognize it, FIX YOUR APP!!!!!"
7/8/2025 8:33,,,,,,No,,"Not able to edit my mobil phone number, because it's  not a U.S. number.  +49 162 3585378"
7/8/2025 8:29,,,,,,,,
7/8/2025 3:11,,,,,,No,,
7/8/2025 1:18,,,,,,No,4,"I tried updating my contact information, as I was notified to do so.  I cannot add a cell phone number because the website will only accept US numbers."
7/8/2025 0:52,,,,,,No,,"Update contact information. It asks for a U.S telephone number to continue. However, I  live in Germany and have no U.S. phone number. Can you assist me?"
7/7/2025 23:46,,,,,,No,2,"I was trying to add my email address to my contact information. The form claimed that my email address was not valid. Possibly because it contains a period? But I assure you, my email address is valid."
7/7/2025 21:13,5,It was easy to navigate through the Website,5,3,2,,,
7/7/2025 19:55,,,,,,Yes,5,
7/7/2025 15:41,,,,,,No,1,Sign up with VetTix
7/7/2025 9:40,,,,,,No,3,"Required to update contact information. I am currently working at US Marine Corps Forces, Europe and Africa, and as such live in Germany. I do not have a US mobile number, but rather a German #: +49 15229814097"
7/6/2025 22:48,,,,,,No,1,I need the copy of my Cola increase.
7/6/2025 21:47,,,,,,No,1,Get into the site.
7/6/2025 16:56,,,,,,No,,
7/6/2025 10:38,,,,,,,,
7/5/2025 23:30,,,,,,,,
7/5/2025 18:45,,,,,,Yes,5,
7/5/2025 13:06,,,,,,,,
7/4/2025 6:33,,,,,,No,2,I have a land line telephone . I do not have a cell phone !
7/4/2025 0:02,,,,,,No,3,Applying for hearing aid benefits
7/3/2025 22:44,,,,,,No,2,wants a mobile number and I don't have one.
7/3/2025 11:23,,,,,,,,
7/3/2025 2:23,,,,,,Yes,5,
7/2/2025 14:47,,,,,,No,3,I am not able to provide a mobile number because I do not live in the United States. I live in Japan.
7/2/2025 12:33,,,,,,No,1,I DO NOT WANT TO GIVE YOU MY CELL PHONE NUMBER.
7/2/2025 11:07,,,,,,,,
7/2/2025 10:13,,,,,,No,1,"I do not have a phone. I will not get a phone. Stop asking for a phone number. You have my email, secure messaging , and address."
7/2/2025 9:21,5,Not had any issues yet.,5,5,5,,,
7/1/2025 21:26,,,,,,Yes,4,Update my personal information
7/1/2025 18:36,,,,,,No,5,I do not have a mobile phone nor do I intend to get one.  I do not like it when everyone expects you to have one so live without it.
7/1/2025 17:55,,,,,,No,1,Make an appointment. The site Wanted my 10 digit phone number and despite counting digits and ensuring no extraneous space it would NOT accept the number
7/1/2025 13:49,,,,,,No,2,"why is there a delay in my signing in. The one thing that seems consistent with any upgrades is the fact, that there are always delays"
7/1/2025 13:25,,,,,,No,1,update my telephone number
7/1/2025 10:36,,,,,,,,
6/30/2025 17:31,,,,,,,,
6/30/2025 15:27,1,Because I should get this survey at the end of my visit not the beginning,1,1,1,,,
6/30/2025 10:22,,,,,,No,,Couldn’t enter german mobility nursing
6/29/2025 20:22,,,,,,No,3,Due to I live in the Philippines I am unable to add my mobile number. I am afraid of not receiving important phone calls due to this feature.
6/29/2025 15:47,,,,,,No,3,Update my account contact phone number. I have no mobile phone.
6/29/2025 15:32,,,,,,Yes,1,A mobile phone number is required. You asinine morons stupidly believe EVERYONE either has or CAN AFFORD a mobile phone number.  Pull your cranium out of your rectum and allow a NONE reply!!!!!
6/29/2025 14:04,,,,,,No,1,Not able to enter email address
6/29/2025 9:12,,,,,,,,
6/29/2025 8:10,,,,,,No,,Put my correct address in
6/29/2025 3:31,,,,,,No,2,Update mobile phone number. I don’t have a US mobile phone number.
6/28/2025 15:12,,,,,,Yes,2,"Changed Email address to match Login.gov AND added a mandatory Mobile Phone Number to match the mandatory phone number on my Login.gov.  This was required because my Home Phone Number is a VoIP number.  I had to use a friends Mobile number because I do not have one and I'm not going to spend thousands for phone and Service Contract for a phone I can't see to use.  Unless all VA correspondence can/will be made via email, not mobile number, I will need to chase him down to get them."
6/28/2025 14:21,,,,,,No,2,Update phone number. I live overseas. The VA website won't accept international phone numbers. How am I supposed to complete my profile?
6/28/2025 8:12,,,,,,No,2,"log in after verifying with ID,me ID.me accepted my phone number here in Thailand. I do not have a US phone number Why am I being asked to provide a US phone numer as I live in Thailand. Is this yet another Catch 22?"
6/27/2025 19:15,2,"difficulty connecting to site , many times",2,3,4,,,
6/27/2025 15:29,,,,,,No,1,"Update, phone number and mailing address"
6/27/2025 15:18,,,,,,,,
6/27/2025 13:07,,,,,,Yes,4,
6/27/2025 12:44,,,,,,No,3,There is no option to enter a international phone number for my contact information.  I do not live in the US and do not have a stateside phone number.  Please update the system to allow the use of international numbers for contact information.
6/26/2025 19:19,,,,,,No,1,Not sure as your email was worthless goobledegook!
6/26/2025 16:07,,,,,,Yes,,Access a doctor's appointment
6/26/2025 15:27,,,,,,No,3,UPDATE MY EMAIL ADDRESS to  bhernandez3@rgv.rr.com  kept telling me that it was not a valid address!
6/26/2025 14:56,,,,,,Yes,4,
6/26/2025 10:29,,,,,,No,2,Make correction for VA form 10-01-37. CANNOT Get past never owned cell phone number.  I do not have any cell phone or text machine.
6/26/2025 10:26,,,,,,Yes,1,
6/26/2025 9:02,,,,,,No,2,"Enter Cell phone # .  1. I live in Germany , I have a German # and no access to a U.S #"
6/26/2025 8:40,,,,,,No,2,Trying fill out forms and when I update it acts as if I didn’t input anything at all
6/25/2025 23:25,,,,,,,,
6/25/2025 23:14,,,,,,No,3,Update contact information with international phone number.
6/25/2025 18:21,,,,,,,,
6/25/2025 13:45,5,,5,3,3,,,
6/25/2025 12:07,,,,,,No,1,My phone 📱 number is in IRELAND  011 353 87 2444 602  I require my disability benifits reinstated please 🙏
6/25/2025 11:33,,,,,,No,3,I only want my landline used for the VA. Why does this insist on a mobile phone?
6/25/2025 11:17,,,,,,,2,
6/25/2025 6:24,,,,,,No,1,The site won't allow me to enter a non-U.S. mobile number. I no longer have one. My husband and I PCS'd.
6/25/2025 1:27,,,,,,No,1,"update phone, email, and address site won't let me"
6/25/2025 1:24,,,,,,No,1,File a Supplemental Claim
6/25/2025 1:22,,,,,,No,1,The system won’t let me update my personal information
6/25/2025 1:19,,,,,,No,1,
6/25/2025 1:05,4,,,,,,,
6/25/2025 1:05,,,,,,Yes,,
6/25/2025 0:54,,,,,,,,
6/25/2025 0:53,,,,,,No,,You suck 99.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 Percent of the time. It’s NOT the hospital visits. It’s YOU GUYS. The VA that runs the veterans claims and my VA and health portals and this shit. YOU are the ones that suck.
6/25/2025 0:51,,,,,,No,1,You guys  Enter an email address  Me: Tabitha.cooper@live.com You guys You must enter an actual email Address  Me: WHY THE FUCK DO YOU TAKE MY TAX DOLLARS
6/25/2025 0:49,,,,,,No,1,Trying to add what you request and then you tell me I can’t add it. That’s AMAZING
6/25/2025 0:48,,,,,,No,2,Update contact information
6/25/2025 0:48,,,,,,No,,
6/25/2025 0:47,,,,,,No,1,update contact information when the site is having technical issues.
6/25/2025 0:47,,,,,,No,2,Trying to update my contact information
6/25/2025 0:46,,,,,,No,2,Update my information and the website doesn’t work
6/25/2025 0:37,3,Just updated contact info,,,,,,
6/25/2025 0:33,,,,,,No,,Update contact info
6/25/2025 0:09,,,,,,No,1,
6/24/2025 22:25,,,,,,No,4,I was able to change my address but it doesn’t accept my mobile number because it’s outside the U.S. even though I’m sent a verification code via text to my mobile number.
6/24/2025 16:27,3,"It was easy to add most of the information, but I was unable to enter the PO Box I use for receiving all mail for safety purposes.",3,3,3,,,
6/24/2025 14:36,,,,,,No,2,"It will not let me update my phone number,email or home address."
6/24/2025 13:56,,,,,,,,
6/24/2025 11:53,,,,,,Yes,5,Add a dependent spouse
6/24/2025 11:27,,,,,,No,1,"I was trying to add my mobile number, but I live overseas and your website will not support it."
6/24/2025 10:41,1,I don't have a cellphone,1,1,3,,,
6/24/2025 10:19,1,"Changing all the time, not able to find what is needed.",1,1,1,,,
6/23/2025 14:22,,,,,,Yes,3,added a phone#
6/23/2025 4:30,,,,,,No,1,Add mt mobile phone. I live in Germany. It only takes U.S. numbers
6/22/2025 16:22,,,,,,Yes,4,verify account
6/22/2025 14:42,,,,,,No,2,"update my contact info I DON""T HAVE A MOBILE PHONE"
6/22/2025 1:18,,,,,,No,2,"Trying to update my contact information. It didn't allow me to do so because I don't have a US phone number. It's the modern era and people often live or work abroad, so either allow non US phone numbers or allow one to bypass this requirement and still continue with other updates."
6/21/2025 23:21,,,,,,Yes,4,Protect those I trust
6/21/2025 16:24,,,,,,,,
6/21/2025 14:15,,,,,,No,1,You want me to enter a mobile phone for contact but I do not have nor ever plan to have a mobile phone. You need to realize that not all people in the  US have mobile phones. I have a  land line that hangs on the kitchen wall and that is all the phone I need. A mobile phone is just an added expense that I don't have the money for.
6/21/2025 9:05,,,,,,No,1,using my HealtheVet now sucks
6/20/2025 20:29,,,,,,No,4,I am trying to get education assistance.
6/20/2025 16:26,,,,,,Yes,,
6/20/2025 13:40,,,,,,Yes,5,Update current address
6/20/2025 11:01,,,,,,No,2,"Updating personal information.  The website asks for a mobile phone number, but advises that it will only accept U.S. numbers.  I live in England and do not have a U.S. mobile number."
6/20/2025 10:52,,,,,,Yes,5,
6/19/2025 22:40,,,,,,No,1,"Medical appointments for Friday June 20,2025 (tmr)"
6/19/2025 20:38,,,,,,Yes,5,"General home maintenance, etc."
6/19/2025 20:33,,,,,,Yes,5,
6/19/2025 20:08,,,,,,No,2,"Adding my telephone number to my profile is mandatory, but I live outside of the U.S. and only U.S. numbers are allowed. That's a classic Catch-22!"
6/19/2025 19:18,,,,,,,,
6/19/2025 16:31,,,,,,Yes,,Trying to log into my ID for given information pertaining to my checking account
6/19/2025 16:11,,,,,,Yes,,
6/19/2025 14:53,,,,,,No,1,update address...this website is nowhere near as user friendly as the previous Myhealthevet...just my opinion...you have to hunt and search and go in and out to get anywhere...even the appointments or messages are not in an order to just look and scan with vision....poor design...sorry...why make things so difficult and challenging
6/19/2025 11:29,,,,,,No,1,trying to update my information an the link goes back to the same page
6/19/2025 9:17,,,,,,No,1,Update email address
6/19/2025 8:38,,,,,,Yes,4,Verify ID.me
6/19/2025 0:02,,,,,,No,,Why can't you enter a phone number from outside the United States as your home phone number if that's what it is?
6/18/2025 23:56,,,,,,No,,
6/18/2025 17:54,,,,,,No,3,I don't have a mobile phone number!
6/18/2025 13:23,,,,,,,,
6/18/2025 8:23,,,,,,Yes,5,
6/18/2025 3:30,,,,,,No,3,
6/18/2025 0:08,,,,,,Yes,3,Change of address
6/17/2025 13:00,,,,,,No,,"You demand a mobile phone number.  I don’t have a cell phone, only a house phone.  I gave my house phone.  (6615887787). There is no traveling contact or text capability."
6/17/2025 12:56,,,,,,No,1,I DO NOT OWN A SMARTPHONE/iPHONE/SPYPHONE
